person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,income_group,loan_amount_group,loan_income_group,income_per_loan,credit_history_to_age
22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,50K-75K,20K+,50%+,1.911764705882353,0.18181818181818182
24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,Below 30K,0-5K,10-20%,7.32,0.125
22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,75K-100K,20K+,40-50%,2.3564064801178204,0.18181818181818182
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,50K-75K,20K+,40-50%,2.052909090909091,0.125
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,Below 30K,0-5K,40-50%,2.4043715846994536,0.14285714285714285
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,Below 30K,0-5K,10-20%,7.857142857142857,0.13043478260869565
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,50K-75K,20K+,40-50%,2.0,0.125
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,Below 30K,0-5K,30-40%,2.84725,0.09523809523809523
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,Below 30K,0-5K,10-20%,5.76,0.14285714285714285
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,100K+,20K+,20-30%,3.75,0.08
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,75K-100K,20K+,30-40%,3.0595813204508855,0.11538461538461539
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,100K+,20K+,0-10%,12.618556701030927,0.12
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,100K+,5K-10K,0-10%,38.46153846153846,0.15384615384615385
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,Below 30K,0-5K,20-30%,4.8,0.19047619047619047
22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,30K-50K,20K+,50%+,1.6,0.09090909090909091
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,50K-75K,20K+,40-50%,2.1333333333333333,0.125
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,50K-75K,20K+,30-40%,2.5,0.16
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,10.99,1,0.42,N,4,50K-75K,20K+,40-50%,2.3833333333333333,0.17391304347826086
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,50K-75K,20K+,40-50%,2.0683333333333334,0.07692307692307693
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,Below 30K,0-5K,20-30%,4.8,0.125
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,100K+,15K-20K,0-10%,15.0,0.15384615384615385
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,100K+,20K+,0-10%,12.371134020618557,0.08695652173913043
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,100K+,5K-10K,0-10%,30.0,0.15384615384615385
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,100K+,20K+,0-10%,12.0,0.11538461538461539
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,100K+,15K-20K,0-10%,16.666666666666668,0.12
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,75K-100K,20K+,30-40%,2.6896666666666667,0.11538461538461539
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,50K-75K,20K+,30-40%,2.21,0.13636363636363635
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,75K-100K,20K+,30-40%,2.9676,0.11538461538461539
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,10.99,1,0.38,Y,4,75K-100K,20K+,30-40%,2.6,0.16666666666666666
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,75K-100K,20K+,30-40%,2.6,0.13043478260869565
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,75K-100K,20K+,30-40%,3.0668,0.13043478260869565
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,75K-100K,20K+,30-40%,3.2333333333333334,0.08695652173913043
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,100K+,20K+,20-30%,4.0,0.16
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,100K+,5K-10K,0-10%,28.0,0.11538461538461539
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,100K+,15K-20K,0-10%,13.8552,0.11538461538461539
23,277000,OWN,3.0,PERSONAL,A,35000,10.99,0,0.13,N,4,100K+,20K+,10-20%,7.914285714285715,0.17391304347826086
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,100K+,20K+,20-30%,4.266666666666667,0.16
24,12000,OWN,2.0,VENTURE,E,1750,10.99,0,0.15,Y,3,Below 30K,0-5K,10-20%,6.857142857142857,0.125
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,100K+,20K+,20-30%,4.366666666666666,0.19047619047619047
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,100K+,10K-15K,0-10%,22.916666666666668,0.09090909090909091
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,10.99,1,0.04,N,4,100K+,5K-10K,0-10%,26.3,0.15384615384615385
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,100K+,20K+,0-10%,8.874,0.08
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,50K-75K,20K+,40-50%,2.4054982817869415,0.13636363636363635
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,Below 30K,0-5K,10-20%,8.0,0.13636363636363635
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,100K+,20K+,10-20%,9.285714285714286,0.11538461538461539
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,100K+,15K-20K,0-10%,12.95,0.08
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,100K+,5K-10K,0-10%,26.5625,0.08333333333333333
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,100K+,20K+,0-10%,10.0,0.16
25,12000,OWN,0.0,MEDICAL,C,3000,10.99,1,0.25,N,3,Below 30K,0-5K,20-30%,4.0,0.12
22,56950,RENT,6.0,MEDICAL,A,28000,10.99,1,0.49,N,2,50K-75K,20K+,40-50%,2.0339285714285715,0.09090909090909091
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,Below 30K,0-5K,20-30%,4.0,0.14285714285714285
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,50K-75K,20K+,40-50%,2.3214285714285716,0.08695652173913043
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,75K-100K,20K+,30-40%,3.0357142857142856,0.11538461538461539
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,Below 30K,5K-10K,50%+,1.9672131147540983,0.11538461538461539
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,75K-100K,20K+,30-40%,3.142857142857143,0.13636363636363635
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,Below 30K,0-5K,30-40%,2.857142857142857,0.19047619047619047
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,Below 30K,0-5K,30-40%,2.526315789473684,0.09090909090909091
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,75K-100K,20K+,30-40%,2.9644285714285714,0.16666666666666666
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,100K+,15K-20K,0-10%,13.88888888888889,0.125
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,75K-100K,20K+,20-30%,3.5714285714285716,0.12
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,100K+,20K+,20-30%,3.9285714285714284,0.07692307692307693
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,10.99,1,0.23,N,4,Below 30K,0-5K,20-30%,4.444444444444445,0.15384615384615385
22,108000,RENT,6.0,EDUCATION,B,28000,10.99,1,0.26,N,4,100K+,20K+,20-30%,3.857142857142857,0.18181818181818182
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,100K+,20K+,10-20%,5.4,0.08695652173913043
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,10.99,1,0.4,N,2,50K-75K,20K+,30-40%,2.5,0.08333333333333333
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,Below 30K,0-5K,20-30%,3.6923076923076925,0.14285714285714285
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,50K-75K,20K+,30-40%,2.5454545454545454,0.13636363636363635
22,240000,OWN,6.0,PERSONAL,B,25000,10.99,0,0.1,N,2,100K+,20K+,0-10%,9.6,0.09090909090909091
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,50K-75K,20K+,30-40%,2.7060998151571165,0.07692307692307693
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,75K-100K,20K+,30-40%,3.074074074074074,0.08333333333333333
24,73399,RENT,0.0,VENTURE,D,27000,10.99,1,0.37,N,3,50K-75K,20K+,30-40%,2.7184814814814815,0.125
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,50K-75K,20K+,40-50%,2.4038461538461537,0.08695652173913043
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,100K+,20K+,20-30%,4.6875,0.13043478260869565
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,Below 30K,0-5K,10-20%,7.725,0.125
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,50K-75K,20K+,40-50%,2.355250245338567,0.13636363636363635
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,100K+,15K-20K,0-10%,11.7,0.16
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,100K+,15K-20K,0-10%,11.7,0.16666666666666666
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,100K+,20K+,0-10%,10.833333333333334,0.11538461538461539
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,100K+,10K-15K,0-10%,18.57176470588235,0.12
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,100K+,20K+,10-20%,9.3,0.07692307692307693
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,100K+,20K+,10-20%,6.571428571428571,0.16
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,75K-100K,20K+,20-30%,3.280632411067194,0.13043478260869565
22,12600,MORTGAGE,4.0,PERSONAL,A,2000,5.42,1,0.16,N,4,Below 30K,0-5K,10-20%,6.3,0.18181818181818182
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,Below 30K,0-5K,10-20%,7.2,0.12
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,30K-50K,20K+,50%+,1.7,0.14285714285714285
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,10.99,1,0.61,N,3,30K-50K,20K+,50%+,1.64,0.125
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,Below 30K,0-5K,20-30%,4.272,0.16
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,Below 30K,0-5K,20-30%,3.5506849315068494,0.125
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,100K+,15K-20K,0-10%,11.3,0.15384615384615385
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,100K+,20K+,10-20%,7.5,0.08
26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,100K+,20K+,10-20%,6.085714285714285,0.07692307692307693
24,225000,RENT,0.0,MEDICAL,B,6000,10.99,0,0.03,N,4,100K+,5K-10K,0-10%,37.5,0.16666666666666666
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,Below 30K,0-5K,30-40%,2.88,0.16666666666666666
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,Below 30K,0-5K,10-20%,5.415,0.08695652173913043
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,30K-50K,20K+,50%+,1.68,0.09090909090909091
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,30K-50K,20K+,50%+,1.92,0.15384615384615385
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,Below 30K,0-5K,20-30%,3.61,0.12
22,12996,OWN,1.0,EDUCATION,B,4750,10.99,1,0.37,N,3,Below 30K,0-5K,30-40%,2.736,0.13636363636363635
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,30K-50K,20K+,50%+,1.6944,0.12
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,30K-50K,20K+,50%+,1.96,0.09523809523809523
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,100K+,20K+,10-20%,9.0,0.08
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,100K+,0-5K,0-10%,75.0,0.15384615384615385
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,100K+,5K-10K,0-10%,30.0,0.08695652173913043
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,100K+,20K+,10-20%,9.0,0.07692307692307693
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,30K-50K,20K+,50%+,1.97856,0.13636363636363635
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,30K-50K,20K+,40-50%,2.0,0.13043478260869565
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,30K-50K,20K+,40-50%,2.0,0.08
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,30K-50K,20K+,50%+,1.76,0.08333333333333333
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,30K-50K,20K+,40-50%,2.0,0.17391304347826086
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,50K-75K,20K+,40-50%,2.00016,0.09090909090909091
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,50K-75K,20K+,40-50%,2.00016,0.13636363636363635
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,50K-75K,20K+,40-50%,2.08,0.18181818181818182
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,Below 30K,0-5K,30-40%,2.6666666666666665,0.17391304347826086
24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,100K+,20K+,10-20%,8.8,0.08333333333333333
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,100K+,20K+,0-10%,10.285714285714286,0.13043478260869565
25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,100K+,20K+,10-20%,8.64,0.12
26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,100K+,15K-20K,0-10%,10.8,0.07692307692307693
23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,100K+,20K+,10-20%,6.142857142857143,0.13043478260869565
26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,100K+,10K-15K,0-10%,17.916666666666668,0.07692307692307693
23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,50K-75K,20K+,40-50%,2.08,0.08695652173913043
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,30K-50K,20K+,50%+,1.84,0.15384615384615385
22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,50K-75K,20K+,40-50%,2.12,0.18181818181818182
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,30K-50K,20K+,50%+,1.88,0.07692307692307693
23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,30K-50K,20K+,50%+,1.88,0.08695652173913043
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,Below 30K,0-5K,10-20%,9.428571428571429,0.17391304347826086
21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,Below 30K,0-5K,30-40%,2.933333333333333,0.19047619047619047
22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,100K+,15K-20K,0-10%,13.125,0.18181818181818182
26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,100K+,20K+,0-10%,9.545454545454545,0.15384615384615385
26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,30K-50K,20K+,50%+,1.92,0.07692307692307693
22,54996,RENT,6.0,EDUCATION,B,25000,10.99,1,0.45,N,4,50K-75K,20K+,40-50%,2.19984,0.18181818181818182
24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,10.99,1,0.45,Y,4,50K-75K,20K+,40-50%,2.2,0.16666666666666666
23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,50K-75K,20K+,40-50%,2.2,0.13043478260869565
23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,50K-75K,20K+,40-50%,2.2,0.13043478260869565
24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,50K-75K,20K+,40-50%,2.20656,0.16666666666666666
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,50K-75K,20K+,40-50%,2.24,0.07692307692307693
24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,100K+,15K-20K,0-10%,10.175,0.125
23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,100K+,20K+,10-20%,8.636363636363637,0.13043478260869565
23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,Below 30K,5K-10K,50%+,1.7961290322580645,0.17391304347826086
24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,50K-75K,20K+,40-50%,2.4,0.125
24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,50K-75K,20K+,40-50%,2.4,0.125
26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,50K-75K,20K+,40-50%,2.16,0.07692307692307693
23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,10.99,1,0.29,N,3,Below 30K,0-5K,20-30%,3.5,0.13043478260869565
24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,100K+,10K-15K,0-10%,16.666666666666668,0.08333333333333333
24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,100K+,10K-15K,0-10%,16.666666666666668,0.08333333333333333
21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,100K+,15K-20K,0-10%,12.5,0.19047619047619047
25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,50K-75K,20K+,40-50%,2.16,0.16
23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,50K-75K,20K+,40-50%,2.4,0.13043478260869565
23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,50K-75K,20K+,40-50%,2.4,0.17391304347826086
21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4,50K-75K,20K+,40-50%,2.4,0.19047619047619047
25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,50K-75K,20K+,30-40%,2.47836,0.08
22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,50K-75K,20K+,40-50%,2.256,0.13636363636363635
23,200000,MORTGAGE,7.0,EDUCATION,A,28000,10.99,0,0.14,N,2,100K+,20K+,10-20%,7.142857142857143,0.08695652173913043
21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2,100K+,20K+,10-20%,8.0,0.09523809523809523
24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,N,4,100K+,20K+,10-20%,8.333333333333334,0.16666666666666666
26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3,100K+,10K-15K,0-10%,13.333333333333334,0.11538461538461539
25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2,100K+,15K-20K,0-10%,12.903225806451612,0.08
24,200000,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4,100K+,5K-10K,0-10%,20.0,0.16666666666666666
24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2,50K-75K,20K+,30-40%,2.64,0.08333333333333333
22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3,50K-75K,20K+,30-40%,2.64,0.13636363636363635
22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4,100K+,5K-10K,0-10%,22.22222222222222,0.18181818181818182
25,200000,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3,100K+,15K-20K,0-10%,11.11111111111111,0.12
25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2,100K+,10K-15K,0-10%,16.666666666666668,0.08
25,200000,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3,100K+,20K+,10-20%,8.676789587852495,0.12
24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,10.99,0,0.1,N,3,100K+,15K-20K,0-10%,10.0,0.125
24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,10.99,1,0.42,Y,2,50K-75K,20K+,40-50%,2.4,0.08333333333333333
21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,10.99,1,0.21,N,4,Below 30K,0-5K,20-30%,4.8,0.19047619047619047
26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2,50K-75K,20K+,30-40%,2.67984,0.07692307692307693
23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4,50K-75K,20K+,30-40%,2.68,0.17391304347826086
24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3,50K-75K,20K+,30-40%,2.68,0.125
24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3,50K-75K,20K+,30-40%,2.72,0.125
25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2,50K-75K,20K+,30-40%,2.76,0.08
25,200000,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3,100K+,10K-15K,0-10%,16.666666666666668,0.12
26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2,100K+,15K-20K,10-20%,9.4,0.07692307692307693
